          90       total
          10     largeur
           9     hauteur
          63     demandé
          64   nb actifs
      Niproc      Njproc        imin        imax        jmin        jmax       actif    effectif
           0           0           0          24           0          28           F         432
           1           0          25          49           0          28           T         515
           2           0          50          74           0          28           T         492
           3           0          75          99           0          28           T         599
           4           0         100         124           0          28           T         691
           5           0         125         149           0          28           T         581
           6           0         150         174           0          28           T           0
           7           0         175         199           0          28           F           0
           8           0         200         224           0          28           F           0
           9           0         225         250           0          28           F           0
           0           1           0          24          29          58           T         588
           1           1          25          49          29          58           T         616
           2           1          50          74          29          58           T         560
           3           1          75          99          29          58           T         616
           4           1         100         124          29          58           T         700
           5           1         125         149          29          58           T         700
           6           1         150         174          29          58           F           0
           7           1         175         199          29          58           F           0
           8           1         200         224          29          58           F           0
           9           1         225         250          29          58           F           0
           0           2           0          24          59          88           T         567
           1           2          25          49          59          88           T         594
           2           2          50          74          59          88           T         540
           3           2          75          99          59          88           T         594
           4           2         100         124          59          88           T         675
           5           2         125         149          59          88           T         716
           6           2         150         174          59          88           F           0
           7           2         175         199          59          88           F           0
           8           2         200         224          59          88           F           0
           9           2         225         250          59          88           F           0
           0           3           0          24          89         117           T         567
           1           3          25          49          89         117           T         594
           2           3          50          74          89         117           T         540
           3           3          75          99          89         117           T         594
           4           3         100         124          89         117           T         675
           5           3         125         149          89         117           T         293
           6           3         150         174          89         117           F           0
           7           3         175         199          89         117           F           0
           8           3         200         224          89         117           F           0
           9           3         225         250          89         117           F           0
           0           4           0          24         118         147           T         651
           1           4          25          49         118         147           T         682
           2           4          50          74         118         147           T         620
           3           4          75          99         118         147           T         495
           4           4         100         124         118         147           T         223
           5           4         125         149         118         147           F           0
           6           4         150         174         118         147           F           0
           7           4         175         199         118         147           F           0
           8           4         200         224         118         147           F           0
           9           4         225         250         118         147           F           0
           0           5           0          24         148         177           T         630
           1           5          25          49         148         177           T         660
           2           5          50          74         148         177           T         600
           3           5          75          99         148         177           T         573
           4           5         100         124         148         177           T         607
           5           5         125         149         148         177           T         479
           6           5         150         174         148         177           T         128
           7           5         175         199         148         177           F           0
           8           5         200         224         148         177           F           0
           9           5         225         250         148         177           F           0
           0           6           0          24         178         206           T         483
           1           6          25          49         178         206           T         506
           2           6          50          74         178         206           T         428
           3           6          75          99         178         206           T         493
           4           6         100         124         178         206           T         574
           5           6         125         149         178         206           T         757
           6           6         150         174         178         206           T         598
           7           6         175         199         178         206           T         112
           8           6         200         224         178         206           F           0
           9           6         225         250         178         206           F           0
           0           7           0          24         207         236           T         777
           1           7          25          49         207         236           T         814
           2           7          50          74         207         236           T         724
           3           7          75          99         207         236           T         432
           4           7         100         124         207         236           T         371
           5           7         125         149         207         236           T         395
           6           7         150         174         207         236           T         513
           7           7         175         199         207         236           T         660
           8           7         200         224         207         236           T         357
           9           7         225         250         207         236           T          74
           0           8           0          24         237         266           T         206
           1           8          25          49         237         266           T         440
           2           8          50          74         237         266           T         567
           3           8          75          99         237         266           T         291
           4           8         100         124         237         266           T           3
           5           8         125         149         237         266           F           0
           6           8         150         174         237         266           T          14
           7           8         175         199         237         266           T         465
           8           8         200         224         237         266           T         780
           9           8         225         250         237         266           T         449
